country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124075279,1.0,1.0,1.0,1.0,10.0,8.0,10.0,Not a religious person,6.0,Male,1950.0,69.0,Married,Self employed
CAN,124075280,1.0,2.0,1.0,4.0,10.0,10.0,10.0,Not a religious person,5.0,Female,1958.0,62.0,Divorced,Retired/pensioned
CAN,124075283,1.0,1.0,2.0,2.0,6.0,9.0,9.0,An atheist,7.0,Female,1974.0,45.0,Married,Full time
CAN,124075284,1.0,2.0,1.0,3.0,7.0,8.0,7.0,A religious person,8.0,Female,1983.0,36.0,Married,Self employed
CAN,124075285,4.0,1.0,1.0,1.0,10.0,1.0,1.0,A religious person,5.0,Male,1970.0,50.0,Divorced,Self employed
CAN,124075286,2.0,1.0,1.0,1.0,10.0,7.0,7.0,An atheist,9.0,Male,1958.0,62.0,Single,Retired/pensioned
CAN,124075287,1.0,2.0,1.0,1.0,9.0,7.0,3.0,Not a religious person,4.0,Female,1960.0,59.0,Married,Full time
CAN,124075288,1.0,2.0,2.0,4.0,8.0,8.0,7.0,Not a religious person,3.0,Male,1952.0,68.0,Divorced,Retired/pensioned
CAN,124075289,1.0,1.0,1.0,1.0,10.0,10.0,10.0,A religious person,1.0,Male,1959.0,61.0,Single,Unemployed
CAN,124075290,1.0,1.0,2.0,3.0,8.0,3.0,1.0,A religious person,5.0,Female,1955.0,65.0,Married,Retired/pensioned
CAN,124075291,1.0,1.0,1.0,2.0,8.0,8.0,7.0,Not a religious person,3.0,Male,1968.0,52.0,Single,Self employed
CAN,124075292,1.0,2.0,2.0,3.0,7.0,7.0,8.0,An atheist,5.0,Female,1978.0,42.0,Living together as married,Homemaker not otherwise employed
CAN,124075293,1.0,2.0,1.0,2.0,10.0,10.0,8.0,Not a religious person,3.0,Female,1997.0,23.0,Living together as married,Part time
CAN,124075294,1.0,1.0,1.0,4.0,10.0,8.0,7.0,Not a religious person,9.0,Male,1949.0,71.0,Widowed,Retired/pensioned
CAN,124075296,3.0,3.0,1.0,4.0,7.0,7.0,6.0,An atheist,2.0,Female,1959.0,61.0,Married,Full time
CAN,124075297,1.0,2.0,2.0,2.0,9.0,6.0,6.0,Not a religious person,5.0,Female,1980.0,40.0,Married,Unemployed
CAN,124075301,1.0,2.0,1.0,2.0,4.0,4.0,1.0,Not a religious person,7.0,Male,1961.0,59.0,Divorced,Self employed
CAN,124075302,3.0,2.0,1.0,3.0,5.0,3.0,4.0,An atheist,7.0,Female,1950.0,70.0,Single,Retired/pensioned
CAN,124075303,1.0,1.0,1.0,2.0,7.0,7.0,7.0,A religious person,1.0,Male,1977.0,43.0,Single,Full time
CAN,124075304,1.0,1.0,1.0,2.0,9.0,8.0,9.0,A religious person,5.0,Female,1938.0,82.0,Widowed,Retired/pensioned
CAN,124075305,2.0,2.0,2.0,3.0,8.0,8.0,9.0,A religious person,4.0,Male,1935.0,85.0,Married,Retired/pensioned
CAN,124075306,1.0,1.0,1.0,3.0,5.0,5.0,6.0,Not a religious person,5.0,Male,1983.0,37.0,Married,Full time
CAN,124075308,1.0,1.0,1.0,2.0,9.0,9.0,10.0,Not a religious person,3.0,Female,1998.0,22.0,Single,Student
CAN,124075309,1.0,1.0,1.0,1.0,7.0,8.0,6.0,A religious person,5.0,Male,1952.0,67.0,Married,Retired/pensioned
CAN,124075311,1.0,1.0,1.0,4.0,9.0,9.0,8.0,A religious person,6.0,Female,1934.0,85.0,Widowed,Retired/pensioned
CAN,124075312,1.0,1.0,1.0,1.0,8.0,8.0,3.0,An atheist,8.0,Male,1943.0,77.0,Married,Retired/pensioned
